nba_id,Team,Player,DPM_rank,EPM_rank,LEBRON_rank,consensus_rank,salary,cap_pct,Callouts,Unsigned
203954,Philadelphia 76ers,Joel Embiid,14,46,199,86.33333333,51415938,0.3657,,
1628371,Orlando Magic,Jonathan Isaac,63,104,95,87.33333333,25000000,0.1778,,
1631094,Orlando Magic,Paolo Banchero,135,67,68,90,12160800,0.0865,Y,
1630183,Minnesota Timberwolves,Jaden McDaniels,85,141,46,90.66666667,23017242,0.1637,,
1629008,Denver Nuggets,Michael Porter Jr.,76,137,60,91,35859950,0.2551,,
1630163,Charlotte Hornets,LaMelo Ball,117,45,111,91,35147000,0.2500,,
201572,Milwaukee Bucks,Brook Lopez,101,119,53,91,23000000,0.1636,,
1628368,San Antonio Spurs,De'Aaron Fox,125,98,51,91.33333333,34848340,0.2479,,
1629675,Minnesota Timberwolves,Naz Reid,102,131,44,92.33333333,13986432,0.0995,Y,
1630581,Chicago Bulls,Josh Giddey,114,113,50,92.33333333,8352367,0.0594,Y,Y
1629655,Dallas Mavericks,Daniel Gafford,121,64,93,92.66666667,13394160,0.0953,,
201950,Boston Celtics,Jrue Holiday,107,87,85,93,30000000,0.2134,,
1630590,Memphis Grizzlies,Scotty Pippen Jr.,106,100,75,93.66666667,2087519,0.0148,,
1630168,Atlanta Hawks,Onyeka Okongwu,83,154,54,97,14000000,0.0996,,
1631117,Utah Jazz,Walker Kessler,116,81,94,97,2965920,0.0211,,
1631105,Detroit Pistons,Jalen Duren,103,153,38,98,4536840,0.0323,Y,Y
203944,Minnesota Timberwolves,Julius Randle,142,90,65,99,33073920,0.2353,Y,
1627736,Detroit Pistons,Malik Beasley,149,69,80,99.33333333,6000000,0.0427,,
201942,Sacramento Kings,DeMar DeRozan,113,145,42,100,23400000,0.1664,,
1630552,Atlanta Hawks,Jalen Johnson,67,120,115,100.6666667,4510905,0.0321,,
1629634,Memphis Grizzlies,Brandon Clarke,61,101,150,104,12500000,0.0889,,
203932,Denver Nuggets,Aaron Gordon,30,107,176,104.3333333,22841455,0.1625,,
1629661,Brooklyn Nets,Cameron Johnson,138,48,127,104.3333333,22500000,0.1600,,
